nombre,pos,edad,dorsal,valor
Gregor Kobel,POR,28,1,40000000
Alexander Meyer,POR,34,33,1000000
Nico Schlotterbeck,CT,26,4,40000000
Waldemar Anton,CT,29,3,20000000
Niklas Sule,CT,30,25,15000000
Ramy Bensebaini,LI,30,5,7000000
Yan Couto,LD,23,2,25000000
Julian Ryerson,LD,28,26,20000000
Emre Can,MCD,32,23,8000000
Pascal Gross,MC,34,13,5000000
Marcel Sabitzer,MC,32,20,15000000
Felix Nmecha,MC,25,8,20000000
Julian Brandt,MO,29,10,35000000
Giovanni Reyna,MO,23,7,12000000
Jamie Gittens,EI,21,43,35000000
Karim Adeyemi,ED,24,27,35000000
Donyell Malen,ED,27,21,30000000
Serhou Guirassy,DC,30,9,40000000
Maximilian Beier,DC,23,14,30000000
