nombre,pos,edad,dorsal,valor
Manuel Neuer,POR,39,1,4000000
Daniel Peretz,POR,25,18,3000000
Sven Ulreich,POR,37,26,1000000
Dayot Upamecano,CT,27,2,45000000
Kim Min-jae,CT,29,3,45000000
Hiroki Ito,CT,26,21,30000000
Eric Dier,CT,32,15,10000000
Alphonso Davies,LI,25,19,50000000
Raphael Guerreiro,LI,32,22,12000000
Sacha Boey,LD,25,23,18000000
Josip Stanisic,LD,26,44,28000000
Joshua Kimmich,MCD,31,6,50000000
Aleksandar Pavlovic,MCD,21,45,50000000
Joao Palhinha,MCD,30,16,55000000
Leon Goretzka,MC,31,8,22000000
Konrad Laimer,MC,28,27,30000000
Jamal Musiala,MO,23,42,130000000
Michael Olise,ED,24,17,55000000
Leroy Sane,ED,30,10,60000000
Kingsley Coman,EI,29,11,40000000
Serge Gnabry,EI,30,7,35000000
Harry Kane,DC,32,9,100000000
Mathys Tel,DC,20,39,40000000
