nombre,pos,edad,dorsal,valor
Joan Garcia,POR,24,13,40000000
Wojciech Szczesny,POR,35,25,900000
Diego Kochen,POR,20,31,500000
Pau Cubarsi,CT,19,5,80000000
Eric Garcia,CT,25,24,35000000
Ronald Araujo,CT,27,4,20000000
Andreas Christensen,CT,30,15,9000000
Alejandro Balde,LI,22,3,55000000
Gerard Martin,LI,24,18,25000000
Jules Kounde,LD,27,23,65000000
Joao Cancelo,LD,31,2,9000000
Marc Bernal,MC,18,22,30000000
Marc Casado,MC,22,17,20000000
Pedri,MC,23,8,150000000
Frenkie de Jong,MC,28,21,45000000
Gavi,MC,21,6,30000000
Fermin Lopez,MO,22,16,100000000
Dani Olmo,MO,27,20,60000000
Raphinha,EI,29,11,80000000
Marcus Rashford,EI,28,14,40000000
Lamine Yamal,ED,18,10,200000000
Roony Bardghji,ED,20,19,15000000
Ferran Torres,DC,26,7,50000000
Robert Lewandowski,DC,37,9,8000000
