nombre,pos,edad,dorsal,valor
Gianluigi Donnarumma,POR,27,25,45000000
James Trafford,POR,23,1,25000000
Marcus Bettinelli,POR,33,13,500000
Josko Gvardiol,CT,24,24,70000000
Marc Guehi,CT,25,15,65000000
Ruben Dias,CT,28,3,60000000
Abdukodir Khusanov,CT,22,45,35000000
John Stones,CT,31,5,15000000
Nathan Ake,CT,31,6,15000000
Nico O'Reilly,LI,21,33,50000000
Rayan Ait-Nouri,LI,24,21,40000000
Matheus Nunes,LD,27,27,45000000
Rico Lewis,LD,21,82,32000000
Rodri,MC,29,16,65000000
Nico Gonzalez,MC,24,14,45000000
Tijjani Reijnders,MC,27,4,60000000
Mateo Kovacic,MC,31,8,12000000
Phil Foden,MO,25,47,80000000
Rayan Cherki,MO,22,10,65000000
Bernardo Silva,MO,31,20,27000000
Jeremy Doku,EI,23,11,65000000
Savinho,EI,22,26,40000000
Antoine Semenyo,ED,26,42,75000000
Erling Haaland,DC,25,9,200000000
Omar Marmoush,DC,27,7,60000000
