nombre,pos,edad,dorsal,valor
Thibaut Courtois,POR,33,1,28000000
Andriy Lunin,POR,27,13,25000000
Eder Militao,CT,28,3,60000000
Antonio Rudiger,CT,33,22,25000000
David Alaba,CT,33,4,15000000
Jesus Vallejo,CT,29,18,1000000
Ferland Mendy,LI,30,23,22000000
Fran Garcia,LI,26,20,15000000
Dani Carvajal,LD,34,2,12000000
Lucas Vazquez,LD,34,17,4000000
Aurelien Tchouameni,MCD,26,14,100000000
Eduardo Camavinga,MCD,23,6,100000000
Federico Valverde,MC,27,8,120000000
Jude Bellingham,MO,22,5,180000000
Dani Ceballos,MC,29,15,4000000
Arda Guler,MO,21,15,45000000
Brahim Diaz,MO,26,21,40000000
Vinicius Junior,EI,25,7,200000000
Rodrygo,ED,25,11,110000000
Kylian Mbappe,DC,27,9,180000000
Endrick,DC,19,16,60000000
