nombre,pos,edad,dorsal,valor
Gianluigi Donnarumma,POR,27,1,40000000
Matvey Safonov,POR,27,39,20000000
Marquinhos,CT,31,5,45000000
Willian Pacho,CT,24,51,40000000
Lucas Beraldo,CT,22,35,30000000
Milan Skriniar,CT,31,37,15000000
Lucas Hernandez,CT,30,21,35000000
Nuno Mendes,LI,23,25,55000000
Lucas Beraldo,LI,22,35,30000000
Achraf Hakimi,LD,27,2,60000000
Joao Neves,MCD,21,87,60000000
Vitinha,MC,26,17,55000000
Warren Zaire-Emery,MC,20,33,60000000
Fabian Ruiz,MC,29,8,30000000
Bradley Barcola,EI,23,29,65000000
Ousmane Dembele,ED,28,10,60000000
Desire Doue,EI,20,14,35000000
Marco Asensio,MO,30,11,15000000
Lee Kang-in,ED,25,19,25000000
Goncalo Ramos,DC,24,9,45000000
Randal Kolo Muani,DC,27,23,35000000
