nombre,pos,edad,dorsal,valor
Senne Lammens,POR,23,31,30000000
Altay Bayındır,POR,28,1,7000000
Tom Heaton,POR,40,22,150000
Leny Yoro,CT,20,15,50000000
Matthijs de Ligt,CT,26,4,40000000
Lisandro Martínez,CT,28,6,40000000
Ayden Heaven,CT,19,26,20000000
Harry Maguire,CT,33,5,10000000
Patrick Dorgu,LI,21,13,35000000
Luke Shaw,LI,30,23,10000000
Tyrell Malacia,LI,26,12,5000000
Diogo Dalot,LD,27,2,30000000
Noussair Mazraoui,LD,28,3,20000000
Manuel Ugarte,MC,25,25,30000000
Casemiro,MC,34,18,8000000
Kobbie Mainoo,MC,21,37,50000000
Bruno Fernandes,MCO,31,8,40000000
Mason Mount,MCO,27,7,30000000
Bryan Mbeumo,ED,26,19,80000000
Amad Diallo,ED,23,16,50000000
Matheus Cunha,DC,26,10,70000000
Benjamin Sesko,DC,22,30,65000000
Joshua Zirkzee,DC,24,11,22000000
Chido Obi,DC,18,32,5000000
