nombre,pos,edad,dorsal,valor
Robert Sánchez,POR,28,1,22000000
Filip Jørgensen,POR,24,12,15000000
Gabriel Slonina,POR,21,44,3500000
Levi Colwill,CT,23,6,50000000
Trevoh Chalobah,CT,26,23,40000000
Wesley Fofana,CT,25,29,28000000
Mamadou Sarr,CT,20,19,25000000
Tosin Adarabioyo,CT,28,4,18000000
Benoît Badiashile,CT,25,5,18000000
Marc Cucurella,LI,27,3,50000000
Jorrel Hato,LI,20,21,35000000
Reece James,LD,26,24,60000000
Malo Gusto,LD,22,27,35000000
Moisés Caicedo,MC,24,25,110000000
Roméo Lavia,MC,22,45,25000000
Dário Essugo,MC,21,14,17000000
Enzo Fernández,MC,25,8,90000000
Andrey Santos,MC,22,17,45000000
Cole Palmer,MCO,24,10,110000000
Alejandro Garnacho,EI,21,49,40000000
Jamie Gittens,EI,21,11,35000000
Estêvão,ED,19,41,80000000
Pedro Neto,ED,26,7,60000000
João Pedro,DC,24,20,75000000
Liam Delap,DC,23,9,32000000
Marc Guiu,DC,20,38,12000000
