nombre,pos,edad,dorsal,valor
Diego Conde,POR,26,13,10000000
Luiz Júnior,POR,24,1,12000000
Alex Quevedo,POR,22,31,500000
Willy Kambwala,CT,21,4,15000000
Logan Costa,CT,25,12,18000000
Eric Bailly,CT,32,3,3000000
Pau Navarro,CT,21,26,5000000
Raúl Albiol,CT,40,2,1000000
Juan Bernat,LI,32,18,5000000
Sergi Cardona,LI,26,23,6000000
Alfonso Pedraza,LI,30,16,8000000
Kiko Femenía,LD,35,17,2000000
Juan Foyth,LD,28,8,12000000
Pape Gueye,MC,26,18,10000000
Santi Comesaña,MC,29,14,8000000
Dani Parejo,MC,37,10,2000000
Ramón Terrats,MC,25,20,6000000
Álex Baena,MCO,24,16,50000000
Yéremy Pino,ED,23,21,30000000
Ilias Akhomach,ED,22,27,15000000
Ayoze Pérez,EI,32,22,10000000
Nicolas Pépé,ED,30,19,9000000
Gerard Moreno,DC,34,7,8000000
Thierno Barry,DC,23,9,12000000
Denis Suárez,MC,32,6,2000000
Pau Cabanes,DC,21,30,1000000
Arnaut Danjuma,EI,29,11,10000000
Gonçalo Guedes,EI,29,15,12000000
