nombre,pos,edad,dorsal,valor
Guglielmo Vicario,POR,29,1,23000000
Antonín Kinský,POR,23,31,13000000
Micky van de Ven,CT,25,37,65000000
Cristian Romero,CT,28,17,50000000
Radu Drăgușin,CT,24,3,20000000
Kevin Danso,CT,27,4,20000000
Ben Davies,CT,33,33,5000000
Destiny Udogie,LI,23,13,35000000
Djed Spence,LI,25,24,30000000
Pedro Porro,LD,26,23,40000000
Rodrigo Bentancur,MC,28,30,22000000
João Palhinha,MC,30,6,18000000
Yves Bissouma,MC,29,8,12000000
Lucas Bergvall,MC,20,15,40000000
Archie Gray,MC,20,14,35000000
Conor Gallagher,MC,26,22,35000000
Pape Matar Sarr,MC,23,29,32000000
Xavi Simons,MCO,23,7,50000000
Dejan Kulusevski,MCO,26,21,35000000
James Maddison,MCO,29,10,25000000
Wilson Odobert,EI,21,28,20000000
Mohammed Kudus,ED,25,20,55000000
Dominic Solanke,DC,28,19,35000000
Richarlison,DC,28,9,28000000
Mathys Tel,DC,21,11,25000000
Randal Kolo Muani,DC,27,39,22000000
