nombre,pos,edad,dorsal,valor
Fernando Muslera,POR,39,1,1000000
Günay Güvenc,POR,34,19,500000
Batuhan Sen,POR,27,12,400000
Davinson Sánchez,CT,29,6,18000000
Victor Nelsson,CT,27,25,16000000
Abdülkerim Bardakcı,CT,31,42,7500000
Metehan Baltacı,CT,23,58,2000000
Ismail Jakobs,LI,26,4,8000000
Elias Jelert,LD,22,18,8000000
Kaan Ayhan,LD,31,22,4500000
Lucas Torreira,PIV,30,34,15000000
Gabriel Sara,MC,26,20,20000000
Berkan Kutlu,MC,28,15,5000000
Kerem Demirbay,MC,32,8,3500000
Efe Akman,MC,20,83,1500000
Yunus Akgün,EI,25,11,10000000
Roland Sallai,ED,29,7,14000000
Barıs Alper Yılmaz,ED,25,53,20000000
Hakim Ziyech,ED,33,22,7000000
Yusuf Demir,ED,22,30,2500000
Mauro Icardi,DC,33,9,12000000
Victor Osimhen,DC,27,45,75000000
Michy Batshuayi,DC,32,44,7000000
Dries Mertens,MCO,39,10,1500000
Halil Dervisoglu,DC,26,21,1000000
Sirachan Nas,MC,23,17,400000
Ali Turap Bülbül,LD,21,72,300000
Eren Paşahan,CT,20,88,100000
Gökdeniz Gürpüz,MC,20,50,250000
