nombre,pos,edad,dorsal,valor
Anatoliy Trubin,POR,24,1,25000000
Samuel Soares,POR,23,24,4000000
António Silva,CT,22,4,28000000
Tomás Araújo,CT,23,44,28000000
Nicolás Otamendi,CT,38,30,1000000
Samuel Dahl,LI,23,26,12000000
Amar Dedić,LD,23,17,15000000
Alexander Bah,LD,28,6,9000000
Richard Ríos,MC,25,20,22000000
Enzo Barrenechea,MC,24,5,15000000
Fredrik Aursnes,MC,30,8,17000000
Leandro Barreiro,MC,26,18,15000000
João Veloso,MC,20,68,1500000
Georgiy Sudakov,MCO,23,10,28000000
João Rego,MCO,20,84,3000000
Andreas Schjelderup,EI,21,21,20000000
Bruma,EI,31,7,5000000
Dodi Lukébakio,ED,28,11,20000000
Gianluca Prestianni,ED,20,25,12000000
Vangelis Pavlidis,DC,27,14,32000000
Franjo Ivanović,DC,22,9,18000000
Henrique Araújo,DC,24,39,2000000
