nombre,pos,edad,dorsal,valor
Gerónimo Rulli,POR,33,1,8000000
Jeffrey de Lange,POR,28,12,3000000
Nayef Aguerd,CT,30,21,20000000
Leonardo Balerdi,CT,27,5,18000000
Facundo Medina,CT,26,32,18000000
Benjamin Pavard,CT,30,28,15000000
CJ Egan-Riley,CT,23,4,10000000
Emerson,LI,31,33,10000000
Arthur Vermeeren,MC,21,18,22000000
Pierre-Emile Højbjerg,MC,30,23,18000000
Geoffrey Kondogbia,MC,33,19,4000000
Quinten Timber,MC,24,27,25000000
Bilal Nadir,MC,22,26,9000000
Timothy Weah,ED,26,22,20000000
Ethan Nwaneri,MCO,19,11,40000000
Igor Paixão,EI,25,14,35000000
Hamed Traoré,EI,26,20,15000000
Mason Greenwood,ED,24,10,55000000
Amine Gouiri,DC,26,9,28000000
Pierre-Emerick Aubameyang,DC,36,17,3000000
