nombre,pos,edad,dorsal,valor
Mark Flekken,POR,32,1,12000000
Janis Blaswich,POR,34,28,2000000
Niklas Lomb,POR,31,36,200000
Edmond Tapsoba,CT,26,12,45000000
Loïc Badé,CT,25,5,25000000
Jarell Quansah,CT,22,4,35000000
Jeanuël Belocian,CT,20,15,12000000
Abdoulaye Faye,CT,19,3,5250000
Álex Grimaldo,LI,29,20,45000000
Mitchel Bakker,LI,24,13,5000000
Jeremie Frimpong,LD,24,21,40000000
Arthur,LD,22,13,5000000
Equi Fernández,MC,22,6,25000000
Aleix García,MC,27,24,20000000
Granit Xhaka,MC,32,34,19300000
Robert Andrich,MC,30,8,11000000
Exequiel Palacios,MC,26,25,45000000
Gustavo Puerta,MC,21,32,3000000
Florian Wirtz,MCO,22,10,125000000
Malik Tillman,MCO,22,18,35000000
Amine Adli,EI,25,21,30000000
Jonas Hofmann,ED,33,7,5000000
Nathan Tella,ED,25,19,23000000
Farid Alfa-Ruprecht,EI,19,29,1900000
Martin Terrier,EI,28,11,20000000
Victor Boniface,DC,24,22,40000000
Patrik Schick,DC,29,14,22000000
