nombre,pos,edad,dorsal,valor
Mike Maignan,POR,30,16,25000000
Pietro Terracciano,POR,36,1,1000000
Lorenzo Torriani,POR,21,96,500000
Strahinja Pavlović,CT,24,31,35000000
Koni De Winter,CT,23,5,23000000
Fikayo Tomori,CT,28,23,20000000
Matteo Gabbia,CT,26,46,20000000
David Odogu,CT,19,27,5000000
Davide Bartesaghi,LI,20,33,23000000
Pervis Estupiñán,LI,28,2,14000000
Zachary Athekame,LD,21,24,10000000
Ardon Jashari,PIV,23,30,30000000
Samuele Ricci,PIV,24,4,25000000
Youssouf Fofana,PIV,27,19,25000000
Adrien Rabiot,MC,31,12,20000000
Ruben Loftus-Cheek,MC,30,8,10000000
Luka Modrić,MC,40,14,4000000
Alexis Saelemaekers,ID,26,56,25000000
Rafael Leão,EI,26,10,65000000
Christian Pulisic,ED,27,11,50000000
Christopher Nkunku,DC,28,18,28000000
Santiago Giménez,DC,25,7,20000000
Niclas Füllkrug,DC,33,9,5000000
