nombre,pos,edad,dorsal,valor
Vanja Milinković,POR,29,32,20000000
Alex Meret,POR,29,1,14000000
Nikita Contini,POR,29,14,400000
Alessandro Buongiorno,CT,26,4,35000000
Sam Beukema,CT,27,31,25000000
Amir Rrahmani,CT,32,13,12000000
Juan Jesus,CT,34,5,1500000
Miguel Gutiérrez,LI,24,3,17000000
Mathías Olivera,LI,28,17,15000000
Leonardo Spinazzola,LI,33,37,3500000
Giovanni Di Lorenzo,LD,32,22,10000000
Pasquale Mazzocchi,LD,30,30,1700000
Billy Gilmour,MC,24,6,20000000
Stanislav Lobotka,MC,31,68,15000000
Scott McTominay,MC,29,8,45000000
Frank Anguissa,MC,30,99,20000000
Antonio Vergara,MCO,23,26,15000000
Eljif Elmas,MCO,26,20,14000000
Kevin De Bruyne,MCO,34,11,10000000
Alisson Santos,EI,23,27,13000000
David Neres,ED,29,7,28000000
Matteo Politano,ED,32,21,8000000
Rasmus Højlund,DC,23,19,50000000
Romelu Lukaku,DC,32,9,12000000
Giovane,DC,22,23,12000000
