nombre,pos,edad,dorsal,valor
Alisson Becker,POR,33,1,28000000
Caoimhin Kelleher,POR,27,62,20000000
Giorgi Mamardashvili,POR,25,25,45000000
Virgil van Dijk,CT,34,4,30000000
Ibrahima Konate,CT,26,5,45000000
Jarell Quansah,CT,23,78,22000000
Joe Gomez,CT,28,2,28000000
Andrew Robertson,LI,32,26,30000000
Kostas Tsimikas,LI,29,21,22000000
Trent Alexander-Arnold,LD,27,66,70000000
Conor Bradley,LD,22,84,15000000
Alexis Mac Allister,MC,27,10,75000000
Dominik Szoboszlai,MC,25,8,75000000
Ryan Gravenberch,MC,23,38,35000000
Curtis Jones,MC,25,17,35000000
Harvey Elliott,MO,22,19,35000000
Luis Diaz,EI,29,7,75000000
Cody Gakpo,EI,26,18,50000000
Mohamed Salah,ED,33,11,55000000
Federico Chiesa,ED,28,14,30000000
Darwin Nunez,DC,26,9,70000000
Diogo Jota,DC,29,20,50000000
