nombre,pos,edad,dorsal,valor
David Raya,POR,30,22,35000000
Neto,POR,36,13,2000000
William Saliba,CT,25,2,80000000
Gabriel Magalhaes,CT,28,6,70000000
Riccardo Calafiori,CT,23,33,45000000
Jurrien Timber,CT,24,12,38000000
Oleksandr Zinchenko,LI,29,17,35000000
Kieran Tierney,LI,28,3,20000000
Ben White,LD,28,4,55000000
Takehiro Tomiyasu,LD,27,18,30000000
Declan Rice,MCD,27,41,120000000
Mikel Merino,MC,29,23,50000000
Thomas Partey,MCD,32,5,18000000
Jorginho,MCD,34,20,12000000
Martin Odegaard,MO,27,8,110000000
Kai Havertz,MO,26,29,75000000
Bukayo Saka,ED,24,7,140000000
Gabriel Martinelli,EI,24,11,70000000
Leandro Trossard,EI,31,19,35000000
Raheem Sterling,EI,31,30,30000000
Gabriel Jesus,DC,28,9,55000000
